Location,Date,Temp_C,Cloud_MinRatio,Precipitation_MM,Snow_CM,Sakura,Maple,Ginko,Hydrangea ,Plum,FujiSnow_CM,,,
Tokyo,01/01,6,3.7,1.2,0,-,-,-,-,-,125,,,
Tokyo,01/02,5.9,3.7,1.2,0,-,-,-,-,-,125,,,
Tokyo,01/03,5.8,3.7,1.2,0,-,-,-,-,-,125,,,
Tokyo,01/04,5.8,3.8,1.2,0,-,-,-,-,-,125,,,
Tokyo,01/05,5.7,3.8,1.3,0,-,-,-,-,-,125,,,
Tokyo,01/06,5.7,3.9,1.3,0,-,-,-,-,-,125,,,
Tokyo,01/07,5.6,3.9,1.4,0,-,-,-,-,-,125,,,
Tokyo,01/08,5.6,4,1.5,0,-,-,-,-,-,125,,,
Tokyo,01/09,5.5,4.1,1.6,0,-,-,-,-,-,125,,,
Tokyo,01/10,5.5,4.1,1.8,0,-,-,-,-,-,125,,,
Tokyo,01/11,5.5,4.2,1.9,0,-,-,-,-,-,125,,,
Tokyo,01/12,5.4,4.3,2,0,-,-,-,-,-,125,,,
Tokyo,01/13,5.4,4.4,2.1,0,-,-,-,-,-,125,,,
Tokyo,01/14,5.3,4.5,2.1,0,-,-,-,-,-,125,,,
Tokyo,01/15,5.3,4.6,2.2,0,-,-,-,-,-,125,,,
Tokyo,01/16,5.2,4.7,2.2,0,-,-,-,-,-,125,,,
Tokyo,01/17,5.2,4.7,2.3,0,-,-,-,-,-,125,,,
Tokyo,01/18,5.2,4.8,2.3,0,-,-,-,-,-,125,,,
Tokyo,01/19,5.2,4.8,2.3,0,-,-,-,-,-,125,,,
Tokyo,01/20,5.2,4.8,2.3,0,-,-,-,-,-,125,,,
Tokyo,01/21,5.1,4.8,2.3,0,-,-,-,-,-,125,,,
Tokyo,01/22,5.1,4.8,2.3,0,-,-,-,-,Flowering,125,,,
Tokyo,01/23,5.2,4.7,2.3,0,-,-,-,-,-,125,,,
Tokyo,01/24,5.2,4.7,2.3,0,-,-,-,-,-,125,,,
Tokyo,01/25,5.2,4.6,2.3,0,-,-,-,-,-,125,,,
Tokyo,01/26,5.2,4.6,2.3,0,-,-,-,-,-,125,,,
Tokyo,01/27,5.2,4.5,2.3,0,-,-,-,-,-,125,,,
Tokyo,01/28,5.3,4.5,2.2,0,-,-,-,-,-,125,,,
Tokyo,01/29,5.3,4.5,2.2,0,-,-,-,-,-,125,,,
Tokyo,01/30,5.3,4.5,2.1,0,-,-,-,-,-,125,,,
Tokyo,01/31,5.4,4.5,2,0,-,-,-,-,-,125,,,
Tokyo,02/01,5.4,4.6,2,0,-,-,-,-,-,128,,,
Tokyo,02/02,5.4,4.6,1.9,0,-,-,-,-,-,128,,,
Tokyo,02/03,5.5,4.7,1.8,0,-,-,-,-,-,128,,,
Tokyo,02/04,5.5,4.8,1.7,0,-,-,-,-,-,128,,,
Tokyo,02/05,5.5,4.9,1.6,0,-,-,-,-,-,128,,,
Tokyo,02/06,5.6,4.9,1.6,0,-,-,-,-,-,128,,,
Tokyo,02/07,5.6,5,1.6,0,-,-,-,-,-,128,,,
Tokyo,02/08,5.6,5.1,1.6,0,-,-,-,-,-,128,,,
Tokyo,02/09,5.7,5.1,1.6,0,-,-,-,-,-,128,,,
Tokyo,02/10,5.7,5.2,1.7,0,-,-,-,-,-,128,,,
Tokyo,02/11,5.8,5.3,1.8,0,-,-,-,-,-,128,,,
Tokyo,02/12,5.9,5.3,1.9,0,-,-,-,-,-,128,,,
Tokyo,02/13,5.9,5.4,2,0,-,-,-,-,-,128,,,
Tokyo,02/14,6,5.4,2.1,0,-,-,-,-,-,128,,,
Tokyo,02/15,6.1,5.4,2.2,0,-,-,-,-,-,128,,,
Tokyo,02/16,6.1,5.5,2.2,0,-,-,-,-,-,128,,,
Tokyo,02/17,6.2,5.5,2.3,0,-,-,-,-,-,128,,,
Tokyo,02/18,6.3,5.5,2.4,0,-,-,-,-,-,128,,,
Tokyo,02/19,6.4,5.6,2.4,0,-,-,-,-,-,128,,,
Tokyo,02/20,6.4,5.6,2.4,0,-,-,-,-,-,128,,,
Tokyo,02/21,6.5,5.6,2.5,0,-,-,-,-,-,128,,,
Tokyo,02/22,6.6,5.7,2.6,0,-,-,-,-,-,128,,,
Tokyo,02/23,6.7,5.7,2.7,0,-,-,-,-,-,128,,,
Tokyo,02/24,6.9,5.8,2.8,0,-,-,-,-,-,128,,,
Tokyo,02/25,7,5.9,3,0,-,-,-,-,-,128,,,
Tokyo,02/26,7.1,5.9,3.1,0,-,-,-,-,-,128,,,
Tokyo,02/27,7.2,6,3.3,0,-,-,-,-,-,128,,,
Tokyo,02/28,7.3,6.1,3.4,0,-,-,-,-,-,128,,,
Tokyo,03/01,7.4,6.1,3.6,0,-,-,-,-,-,187,,,
Tokyo,03/02,7.5,6.1,3.7,0,-,-,-,-,-,187,,,
Tokyo,03/03,7.7,6.1,3.8,0,-,-,-,-,-,187,,,
Tokyo,03/04,7.8,6.1,3.8,0,-,-,-,-,-,187,,,
Tokyo,03/05,7.9,6.1,3.9,0,-,-,-,-,-,187,,,
Tokyo,03/06,8,6,3.8,0,-,-,-,-,-,187,,,
Tokyo,03/07,8.1,6,3.8,0,-,-,-,-,-,187,,,
Tokyo,03/08,8.2,6,3.7,0,-,-,-,-,-,187,,,
Tokyo,03/09,8.4,5.9,3.6,0,-,-,-,-,-,187,,,
Tokyo,03/10,8.5,5.9,3.5,0,-,-,-,-,-,187,,,
Tokyo,03/11,8.7,5.9,3.4,0,-,-,-,-,-,187,,,
Tokyo,03/12,8.8,5.9,3.3,0,-,-,-,-,-,187,,,
Tokyo,03/13,9,5.9,3.3,0,-,-,-,-,-,187,,,
Tokyo,03/14,9.1,5.9,3.2,0,-,-,-,-,-,187,,,
Tokyo,03/15,9.3,5.9,3.1,0,-,-,-,-,-,187,,,
Tokyo,03/16,9.5,6,3.1,0,-,-,-,-,-,187,,,
Tokyo,03/17,9.6,6,3.1,0,-,-,-,-,-,187,,,
Tokyo,03/18,9.7,6.1,3.2,0,-,-,-,-,-,187,,,
Tokyo,03/19,9.9,6.2,3.2,0,-,-,-,-,-,187,,,
Tokyo,03/20,10,6.3,3.3,0,-,-,-,-,-,187,,,
Tokyo,03/21,10.1,6.3,3.3,0,-,-,-,-,-,187,,,
Tokyo,03/22,10.2,6.4,3.4,0,-,-,-,-,-,187,,,
Tokyo,03/23,10.3,6.4,3.5,0,-,-,-,-,-,187,,,
Tokyo,03/24,10.4,6.5,3.6,0,Flowering,-,-,-,-,187,,,
Tokyo,03/25,10.5,6.5,3.7,0,-,-,-,-,-,187,,,
Tokyo,03/26,10.6,6.5,3.9,0,-,-,-,-,-,187,,,
Tokyo,03/27,10.8,6.5,4,0,-,-,-,-,-,187,,,
Tokyo,03/28,11,6.5,4.1,0,-,-,-,-,-,187,,,
Tokyo,03/29,11.1,6.5,4.3,0,-,-,-,-,-,187,,,
Tokyo,03/30,11.3,6.4,4.4,0,-,-,-,-,-,187,,,
Tokyo,03/31,11.5,6.4,4.6,0,Full Bloom,-,-,-,-,187,,,
Tokyo,04/01,11.7,6.4,4.7,0,-,-,-,-,-,206,,,
Tokyo,04/02,11.9,6.4,4.8,0,-,-,-,-,-,206,,,
Tokyo,04/03,12.1,6.4,4.9,0,-,-,-,-,-,206,,,
Tokyo,04/04,12.3,6.4,4.9,0,-,-,-,-,-,206,,,
Tokyo,04/05,12.5,6.4,5,0,-,-,-,-,-,206,,,
Tokyo,04/06,12.7,6.5,5,0,-,-,-,-,-,206,,,
Tokyo,04/07,12.9,6.5,5,0,-,-,-,-,-,206,,,
Tokyo,04/08,13.1,6.5,5,0,-,-,-,-,-,206,,,
Tokyo,04/09,13.2,6.6,4.9,0,-,-,-,-,-,206,,,
Tokyo,04/10,13.4,6.6,4.9,0,-,-,-,-,-,206,,,
Tokyo,04/11,13.6,6.7,4.8,0,-,-,-,-,-,206,,,
Tokyo,04/12,13.8,6.7,4.7,0,-,-,-,-,-,206,,,
Tokyo,04/13,13.9,6.8,4.7,0,-,-,-,-,-,206,,,
Tokyo,04/14,14.1,6.9,4.6,0,-,-,-,-,-,206,,,
Tokyo,04/15,14.3,6.9,4.6,0,-,-,-,-,-,206,,,
Tokyo,04/16,14.5,6.9,4.5,0,-,-,-,-,-,206,,,
Tokyo,04/17,14.6,7,4.4,0,-,-,-,-,-,206,,,
Tokyo,04/18,14.8,7,4.3,0,-,-,-,-,-,206,,,
Tokyo,04/19,14.9,7,4.3,0,-,-,-,-,-,206,,,
Tokyo,04/20,15.1,7,4.2,0,-,-,-,-,-,206,,,
Tokyo,04/21,15.3,7,4.1,0,-,-,-,-,-,206,,,
Tokyo,04/22,15.4,7,4,0,-,-,-,-,-,206,,,
Tokyo,04/23,15.6,6.9,4,0,-,-,-,-,-,206,,,
Tokyo,04/24,15.8,6.9,3.9,0,-,-,-,-,-,206,,,
Tokyo,04/25,15.9,6.8,3.8,0,-,-,-,-,-,206,,,
Tokyo,04/26,16.1,6.8,3.8,0,-,-,-,-,-,206,,,
Tokyo,04/27,16.3,6.7,3.7,0,-,-,-,-,-,206,,,
Tokyo,04/28,16.5,6.7,3.7,0,-,-,-,-,-,206,,,
Tokyo,04/29,16.7,6.7,3.6,0,-,-,-,-,-,206,,,
Tokyo,04/30,16.8,6.7,3.6,0,-,-,-,-,-,206,,,
Tokyo,05/01,17,6.7,3.6,0,-,-,-,-,-,196,,,
Tokyo,05/02,17.1,6.8,3.6,0,-,-,-,-,-,196,,,
Tokyo,05/03,17.3,6.8,3.6,0,-,-,-,-,-,196,,,
Tokyo,05/04,17.4,6.9,3.6,0,-,-,-,-,-,196,,,
Tokyo,05/05,17.5,7,3.6,0,-,-,-,-,-,196,,,
Tokyo,05/06,17.6,7.1,3.7,0,-,-,-,-,-,196,,,
Tokyo,05/07,17.7,7.2,3.7,0,-,-,-,-,-,196,,,
Tokyo,05/08,17.8,7.3,3.8,0,-,-,-,-,-,196,,,
Tokyo,05/09,17.9,7.3,3.9,0,-,-,-,-,-,196,,,
Tokyo,05/10,18,7.4,4,0,-,-,-,-,-,196,,,
Tokyo,05/11,18.1,7.4,4,0,-,-,-,-,-,196,,,
Tokyo,05/12,18.2,7.5,4.1,0,-,-,-,-,-,196,,,
Tokyo,05/13,18.3,7.5,4.2,0,-,-,-,-,-,196,,,
Tokyo,05/14,18.4,7.5,4.3,0,-,-,-,-,-,196,,,
Tokyo,05/15,18.5,7.4,4.4,0,-,-,-,-,-,196,,,
Tokyo,05/16,18.6,7.4,4.5,0,-,-,-,-,-,196,,,
Tokyo,05/17,18.8,7.4,4.6,0,-,-,-,-,-,196,,,
Tokyo,05/18,18.9,7.4,4.7,0,-,-,-,-,-,196,,,
Tokyo,05/19,19.1,7.3,4.8,0,-,-,-,-,-,196,,,
Tokyo,05/20,19.2,7.3,4.9,0,-,-,-,-,-,196,,,
Tokyo,05/21,19.4,7.3,5,0,-,-,-,-,-,196,,,
Tokyo,05/22,19.5,7.3,5.1,0,-,-,-,-,-,196,,,
Tokyo,05/23,19.6,7.4,5.1,0,-,-,-,-,-,196,,,
Tokyo,05/24,19.7,7.4,5.1,0,-,-,-,-,-,196,,,
Tokyo,05/25,19.9,7.5,5,0,-,-,-,-,-,196,,,
Tokyo,05/26,20,7.5,5,0,-,-,-,-,-,196,,,
Tokyo,05/27,20.1,7.6,4.9,0,-,-,-,-,-,196,,,
Tokyo,05/28,20.2,7.7,4.8,0,-,-,-,-,-,196,,,
Tokyo,05/29,20.3,7.7,4.6,0,-,-,-,-,-,196,,,
Tokyo,05/30,20.3,7.8,4.5,0,-,-,-,-,-,196,,,
